Total lessons: 113

Module: Week1 (ID: 3ff93e10-4158-4e4f-b177-d4de82d461e3)
  Lesson ID: 08691c1c-411d-430a-a820-a7f6060d232e | sort_order: 0 | Title: #7 Django tutorials ｜ Addition of Two Numbers in Django.mp4 | Created At: 2026-05-15 20:31:55.952908
  Lesson ID: ff55f4b7-51c4-4940-aa23-cb40136aa2ef | sort_order: 0 | Title: #8 Django tutorials ｜ GET vs POST ｜ HTTP Methods.mp4 | Created At: 2026-05-15 20:31:56.363039
  Lesson ID: 49d60499-b595-41e9-97cd-2fdb8c564cb3 | sort_order: 0 | Title: #10 Django tutorials ｜ Static Files - 1.mp4 | Created At: 2026-05-15 20:31:57.096674
  Lesson ID: 8b2f519e-2e6b-4826-91cf-62719b65cb9e | sort_order: 0 | Title: #1 Django tutorials ｜ What is Django？ ｜ Python Web Framework.mp4 | Created At: 2026-05-17 02:46:48.588660
  Lesson ID: 1dc12529-20f0-4e49-9a85-096daed87788 | sort_order: 0 | Title: #9 Django tutorials ｜ Model View Template in Django ｜ MVT.mp4 | Created At: 2026-05-17 02:55:24.692070
  Lesson ID: 2d56f585-aef0-4554-9ec9-fe5050fe03ed | sort_order: 0 | Title: #5 Django tutorials ｜ Django Template Language ｜ DTL.mp4 | Created At: 2026-05-17 03:22:27.120240
  Lesson ID: 4978b7ed-b649-425c-9894-97f8b6e23b97 | sort_order: 0 | Title: #6 Django tutorials ｜ Django Template Language - part 2.mp4 | Created At: 2026-05-17 03:22:27.936187

Module: Week 2 (ID: 7b6950b8-33bf-4163-b748-115c1dc9a5f9)
  Lesson ID: 1d15f163-a32e-4342-bc4f-d9dc1903b33f | sort_order: 0 | Title: #22 Machine Learning Specialization [Course 1, Week 2, Lesson 1].mp4 | Created At: 2026-05-16 08:05:08.556871
  Lesson ID: fde876f0-15d9-41ad-96a0-3d5ed9143330 | sort_order: 0 | Title: #23 Machine Learning Specialization [Course 1, Week 2, Lesson 1].mp4 | Created At: 2026-05-16 08:05:08.873635
  Lesson ID: b811b548-92de-4469-91f0-8a05293ad681 | sort_order: 0 | Title: #24 Machine Learning Specialization [Course 1, Week 2, Lesson 1].mp4 | Created At: 2026-05-16 08:05:09.224473
  Lesson ID: 1e0bfe25-1498-4169-9810-ea32edee4fcf | sort_order: 0 | Title: #25 Machine Learning Specialization [Course 1, Week 2, Lesson 2].mp4 | Created At: 2026-05-16 08:05:09.520060
  Lesson ID: dd5f9e18-454c-4fdd-b632-a25af17debb0 | sort_order: 0 | Title: #26 Machine Learning Specialization [Course 1, Week 2, Lesson 2].mp4 | Created At: 2026-05-16 08:05:09.798450
  Lesson ID: 1650f792-db63-4fef-bbf9-6406e7677fd9 | sort_order: 0 | Title: #27 Machine Learning Specialization [Course 1, Week 2, Lesson 2].mp4 | Created At: 2026-05-16 08:05:10.081979
  Lesson ID: 0b763b16-7797-4298-abe7-2d219195e925 | sort_order: 0 | Title: #28 Machine Learning Specialization [Course 1, Week 2, Lesson 2].mp4 | Created At: 2026-05-16 08:05:10.483770
  Lesson ID: e1196b24-80be-4753-920a-59567f24a1ca | sort_order: 0 | Title: #29 Machine Learning Specialization [Course 1, Week 2, Lesson 2].mp4 | Created At: 2026-05-16 08:05:10.911840
  Lesson ID: 64665c16-6b97-41b3-9c79-2c1a761f657d | sort_order: 0 | Title: #30 Machine Learning Specialization [Course 1, Week 2, Lesson 2].mp4 | Created At: 2026-05-16 08:05:11.397084
  Lesson ID: 4cf985e4-c8e4-4c4a-9bad-445ff2c12013 | sort_order: 0 | Title: #21 Machine Learning Specialization [Course 1, Week 2, Lesson 1].mp4 | Created At: 2026-05-16 10:25:32.464227

Module: Week 2 (ID: 0fe2c8a7-bc91-48d9-85e6-04dfa1560922)
  Lesson ID: 5221c4a6-32c7-4465-baf6-d40e9dd3a1a4 | sort_order: 0 | Title: C4W2L01 Why look at case studies？.mp4 | Created At: 2026-05-16 11:02:11.810900
  Lesson ID: 7118d961-efa1-4c92-92c2-5ecf42d788a4 | sort_order: 0 | Title: C4W2L02 Classic Network.mp4 | Created At: 2026-05-16 11:02:12.216586
  Lesson ID: 88982187-7d63-4165-a114-404d01d34f1d | sort_order: 0 | Title: C4W2L03 Resnets.mp4 | Created At: 2026-05-16 11:02:12.470750
  Lesson ID: 84912a75-771c-41ec-96ae-0a0fd350e3db | sort_order: 0 | Title: C4W2L04 Why ResNets Work.mp4 | Created At: 2026-05-16 11:02:12.723069
  Lesson ID: c95af807-d0b0-4c1c-8908-3f7084e3e5d9 | sort_order: 0 | Title: C4W2L05 Network In Network.mp4 | Created At: 2026-05-16 11:02:12.936240
  Lesson ID: 932b36a2-6f80-4f8b-a004-9d15bdc18889 | sort_order: 0 | Title: C4W2L06 Inception Network Motivation.mp4 | Created At: 2026-05-16 11:02:13.189998
  Lesson ID: f2b5da49-eaa4-4603-a5de-3102eaf832dd | sort_order: 0 | Title: C4W2L07 Inception Network.mp4 | Created At: 2026-05-16 11:02:13.452412
